T:StockSharp.Blackwood.BlackwoodAddresses/summary;DocStr2540
F:StockSharp.Blackwood.BlackwoodAddresses.WetBush/summary;DocStr2544
F:StockSharp.Blackwood.BlackwoodAddresses.ExecutionPort/summary;DocStr2541
F:StockSharp.Blackwood.BlackwoodAddresses.MarketDataPort/summary;DocStr2542
F:StockSharp.Blackwood.BlackwoodAddresses.HistoricalDataPort/summary;DocStr2543
T:StockSharp.Blackwood.BlackwoodImbalance/summary;DocStr2545
P:StockSharp.Blackwood.BlackwoodImbalance.Time/summary;DocStr23
P:StockSharp.Blackwood.BlackwoodImbalance.ImbalanceVolume/summary;DocStr2546
P:StockSharp.Blackwood.BlackwoodImbalance.TotalVolume/summary;DocStr2547
P:StockSharp.Blackwood.BlackwoodImbalance.PairedVolume/summary;DocStr2548
P:StockSharp.Blackwood.BlackwoodImbalance.ReferencePrice/summary;Price
P:StockSharp.Blackwood.BlackwoodImbalance.InitTime/summary;Time
P:StockSharp.Blackwood.BlackwoodImbalance.InitImbalanceVolume/summary;DocStr2549
P:StockSharp.Blackwood.BlackwoodImbalance.RegImbalance/summary;DocStr9815
P:StockSharp.Blackwood.BlackwoodImbalance.InitRegImbalanceVolume/summary;DocStr2551
P:StockSharp.Blackwood.BlackwoodImbalance.CurrInitImbalanceVolume/summary;DocStr2552
P:StockSharp.Blackwood.BlackwoodImbalance.ClearingPrice/summary;DocStr2553
P:StockSharp.Blackwood.BlackwoodImbalance.ClosingOnlyClearingPrice/summary;DocStr2554
T:StockSharp.Blackwood.BlackwoodMessageAdapter/summary;DocStr2555
M:StockSharp.Blackwood.BlackwoodMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Blackwood.BlackwoodMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Blackwood.BlackwoodMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Blackwood.BlackwoodMessageAdapter.Login/summary;Login
P:StockSharp.Blackwood.BlackwoodMessageAdapter.Password/summary;Password
P:StockSharp.Blackwood.BlackwoodMessageAdapter.MarketDataAddress/summary;Str3697
P:StockSharp.Blackwood.BlackwoodMessageAdapter.HistoricalDataAddress/summary;Str3330
P:StockSharp.Blackwood.BlackwoodMessageAdapter.ExecutionAddress/summary;Str3331
P:StockSharp.Blackwood.BlackwoodMessageAdapter.LogPath/summary;Str3333
P:StockSharp.Blackwood.BlackwoodMessageAdapter.OverrideDll/summary;OverrideDll
P:StockSharp.Blackwood.BlackwoodMessageAdapter.AllTimeFrames/summary;DocStr206
M:StockSharp.Blackwood.BlackwoodMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Blackwood.BlackwoodMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Blackwood.BlackwoodMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Blackwood.BlackwoodMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Blackwood.ImbalanceRequestMessage/summary;DocStr11425
M:StockSharp.Blackwood.ImbalanceRequestMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.ImbalanceResposeMessage/summary;DocStr9569
M:StockSharp.Blackwood.ImbalanceResposeMessage.#ctor/summary;DocStr1
P:StockSharp.Blackwood.ImbalanceResposeMessage.Imbalance/summary;Imbalance
T:StockSharp.Blackwood.CrossLockRequestMessage/summary;DocStr11427
M:StockSharp.Blackwood.CrossLockRequestMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.CrossLockResposeMessage/summary;DocStr9569
M:StockSharp.Blackwood.CrossLockResposeMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.PreMarketRequestMessage/summary;DocStr11428
M:StockSharp.Blackwood.PreMarketRequestMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.PreMarketResposeMessage/summary;DocStr9569
M:StockSharp.Blackwood.PreMarketResposeMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.HighLowRequestMessage/summary;DocStr11429
M:StockSharp.Blackwood.HighLowRequestMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.MarketSorterRequestMessage/summary;DocStr11430
M:StockSharp.Blackwood.MarketSorterRequestMessage.#ctor/summary;DocStr1
T:StockSharp.Blackwood.BlackwoodOrderConditionTypes/summary;DocStr2556
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.StopMarket/summary;DocStr2557
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.StopLimit/summary;DocStr2558
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.MarketOrBetter/summary;DocStr2559
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.MarketClose/summary;DocStr2560
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.MarketOpen/summary;DocStr2561
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.LimitOpen/summary;DocStr2562
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.MarketNyse/summary;DocStr2563
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.LimitNyse/summary;DocStr2564
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.LimitClose/summary;DocStr2565
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.Pegged/summary;Pegged
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.ReversePegged/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.DirectPlus/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.MidPegged/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.MktPegged/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartStart/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.Shave/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.Half/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.HuntMarket/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.HuntLimit/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.GfiMarket/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.GfiLimit/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.ShortDowntick/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.NewHuntMarket/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.NewHuntLimit/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartStop/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.CustomStart/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartBid/summary;DocStr2566
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartAsk/summary;DocStr2567
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartLast/summary;DocStr2568
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartMiddle/summary;DocStr2569
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartFixed/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartCancel/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.SmartDispersion/summary;DocStr8459
F:StockSharp.Blackwood.BlackwoodOrderConditionTypes.CustomOrderStop/summary;DocStr8459
T:StockSharp.Blackwood.BlackwoodOrderCondition/summary;DocStr60
M:StockSharp.Blackwood.BlackwoodOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Blackwood.BlackwoodOrderCondition.StopPrice/summary;Str1885
P:StockSharp.Blackwood.BlackwoodOrderCondition.Type/summary;Str1737
T:StockSharp.Blackwood.BlackwoodTrader/summary;DocStr2539
M:StockSharp.Blackwood.BlackwoodTrader.#ctor/summary;DocStr1
P:StockSharp.Blackwood.BlackwoodTrader.Login/summary;Login
P:StockSharp.Blackwood.BlackwoodTrader.Password/summary;Password
P:StockSharp.Blackwood.BlackwoodTrader.ExecutionAddress/summary;Str3331
P:StockSharp.Blackwood.BlackwoodTrader.MarketDataAddress/summary;Str3697
P:StockSharp.Blackwood.BlackwoodTrader.HistoricalDataAddress/summary;Str3330
P:StockSharp.Blackwood.BlackwoodTrader.LogPath/summary;Str3333
P:StockSharp.Blackwood.BlackwoodTrader.OverrideDll/summary;OverrideDll
