T:StockSharp.Gdax.GdaxMessageAdapter/summary;DocStr2538
M:StockSharp.Gdax.GdaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Gdax.GdaxMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Gdax.GdaxMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Gdax.GdaxMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Gdax.GdaxMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.Gdax.GdaxMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Gdax.GdaxMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
M:StockSharp.Gdax.GdaxMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Gdax.GdaxMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Gdax.GdaxMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Gdax.GdaxMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Gdax.GdaxMessageAdapter.Passphrase/summary;Passphrase
P:StockSharp.Gdax.GdaxMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Gdax.GdaxMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Gdax.GdaxMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Gdax.GdaxMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Gdax.GdaxOrderCondition/summary;DocStr60
M:StockSharp.Gdax.GdaxOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Gdax.GdaxOrderCondition.StopPrice/summary;Str3460
T:StockSharp.Gdax.GdaxTrader/summary;DocStr2539
M:StockSharp.Gdax.GdaxTrader.#ctor/summary;DocStr1
P:StockSharp.Gdax.GdaxTrader.Key/summary;Str3304
P:StockSharp.Gdax.GdaxTrader.Secret/summary;DocStr3146
P:StockSharp.Gdax.GdaxTrader.Passphrase/summary;Passphrase
P:StockSharp.Gdax.GdaxTrader.BalanceCheckInterval/summary;BalanceCheckInterval
